# step L_int L_bdry L_orth
1 4.87859249e-01 0.00000000e+00 0.00000000e+00
2 4.65481162e-01 3.18431499e-04 3.25246801e-05
3 4.44757968e-01 2.61249673e-03 2.30595149e-04
4 4.48751837e-01 9.24099982e-03 1.00134022e-03
5 4.28513259e-01 1.06160482e-02 1.44987134e-03
6 4.30730313e-01 1.07236011e-02 2.06673145e-03
7 4.08938140e-01 9.12603829e-03 1.66861527e-03
8 4.04809117e-01 9.52692702e-03 9.08798538e-04
9 4.10771132e-01 1.23329563e-02 1.23336713e-03
10 3.93396407e-01 1.66776758e-02 1.48552936e-03
11 3.82527232e-01 2.04756893e-02 1.63722457e-03
12 3.89139771e-01 2.39790268e-02 1.93249620e-03
13 3.74254465e-01 2.72376463e-02 2.15746905e-03
14 3.75652224e-01 2.88326852e-02 2.27477704e-03
15 3.69100362e-01 2.68948004e-02 2.17229314e-03
16 3.67528170e-01 2.38726027e-02 1.88037241e-03
17 3.67720485e-01 1.85739920e-02 1.78615213e-03
18 3.61002326e-01 1.58181675e-02 1.83633051e-03
19 3.58078361e-01 1.31964562e-02 1.84942014e-03
20 3.51730704e-01 9.95406043e-03 1.12341624e-03
21 3.38008493e-01 8.50076415e-03 8.79834406e-04
22 3.43166173e-01 7.63738668e-03 1.01400050e-03
23 3.34531903e-01 5.87817747e-03 1.36812648e-03
24 3.33181381e-01 3.49006150e-03 2.07566842e-03
25 3.29543918e-01 2.99008284e-03 4.87699639e-03
26 3.34050059e-01 2.47276598e-03 4.39483998e-03
27 3.31448138e-01 2.90412200e-03 6.56166393e-03
28 3.22497904e-01 3.07739107e-03 4.96865204e-03
29 3.19725782e-01 3.29381484e-03 3.95258423e-03
30 3.08716804e-01 4.04701242e-03 4.78878198e-03
31 2.99278438e-01 3.58936959e-03 3.47637432e-03
32 2.92862028e-01 2.59331870e-03 2.73694890e-03
33 2.89141357e-01 2.07635155e-03 2.34947028e-03
34 2.74965674e-01 2.19383161e-03 2.05503730e-03
35 2.66356945e-01 2.05264986e-03 1.54765998e-03
36 2.68397689e-01 1.77021394e-03 1.88114168e-03
37 2.73295641e-01 1.44443812e-03 2.32174061e-03
38 2.62889028e-01 1.41363568e-03 3.60306352e-03
39 2.49960721e-01 1.96328107e-03 3.82351060e-03
40 2.58423597e-01 3.42782144e-03 3.93130165e-03
41 2.47988477e-01 3.02076386e-03 4.33460576e-03
42 2.49540359e-01 3.17325210e-03 4.68568970e-03
43 2.46069789e-01 4.68358491e-03 4.34479211e-03
44 2.46376902e-01 5.22964355e-03 4.09601117e-03
45 2.37794936e-01 4.87197796e-03 3.92410299e-03
46 2.42525429e-01 4.31538653e-03 3.74130043e-03
47 2.32854322e-01 4.73538926e-03 3.92921316e-03
48 2.33725280e-01 4.79623023e-03 4.62537445e-03
49 2.28147656e-01 3.51621746e-03 4.89531085e-03
50 2.27381915e-01 3.05479788e-03 5.24571165e-03
51 2.20835567e-01 3.29885515e-03 5.81466034e-03
52 2.22246140e-01 3.55481193e-03 6.38409378e-03
53 2.19220117e-01 3.53257637e-03 6.16469141e-03
54 2.18465567e-01 3.79289128e-03 6.02272246e-03
55 2.11599469e-01 3.65255587e-03 6.13499153e-03
56 2.14558691e-01 3.66425305e-03 5.85603481e-03
57 2.08288595e-01 4.28947574e-03 5.50048845e-03
58 2.03650251e-01 4.78626881e-03 5.20620076e-03
59 2.06289187e-01 4.86294134e-03 4.84805042e-03
60 2.02781484e-01 5.07178577e-03 4.80935629e-03
61 2.02548191e-01 4.98284027e-03 5.09886257e-03
62 2.03135997e-01 4.74625640e-03 5.29921101e-03
63 1.99894652e-01 4.98706521e-03 5.60231972e-03
64 1.99508816e-01 5.10780560e-03 5.80618577e-03
65 1.97208613e-01 5.16868429e-03 6.03831187e-03
66 1.99879795e-01 5.06374333e-03 5.84383868e-03
67 1.97235137e-01 5.27981529e-03 6.41258620e-03
68 1.93288177e-01 5.55709656e-03 6.32038899e-03
69 1.97490752e-01 5.49587468e-03 6.22226298e-03
70 1.94812149e-01 6.18377328e-03 6.71420945e-03
71 1.92613393e-01 5.86511567e-03 6.43360615e-03
72 1.89495474e-01 6.70982059e-03 6.73385803e-03
73 1.88119680e-01 6.80779014e-03 7.20553938e-03
74 1.93865344e-01 6.57126214e-03 7.24299019e-03
75 1.88420534e-01 7.81762414e-03 7.68279145e-03
76 1.92832410e-01 6.46454096e-03 7.67093524e-03
77 1.99518710e-01 7.38042220e-03 8.55736528e-03
78 1.92181259e-01 7.01706391e-03 8.07289686e-03
79 1.86861396e-01 7.10276468e-03 7.83320889e-03
80 1.93015069e-01 7.29621062e-03 7.78472982e-03
81 1.85700268e-01 6.88862335e-03 7.91487191e-03
82 1.95940197e-01 7.05308327e-03 8.59495346e-03
83 1.89594030e-01 6.37464132e-03 7.92034343e-03
84 1.87253326e-01 7.01822666e-03 8.10118765e-03
85 1.96202308e-01 7.53108086e-03 8.97244923e-03
86 1.82498515e-01 6.50495663e-03 8.66350532e-03
87 1.89158767e-01 6.36329129e-03 9.26856138e-03
88 1.85656980e-01 6.99107023e-03 9.42927040e-03
89 1.81652695e-01 6.92731701e-03 9.11662728e-03
90 1.90795898e-01 6.68476988e-03 8.81295651e-03
91 1.86164856e-01 5.75330667e-03 9.18233395e-03
92 1.89634740e-01 7.85818137e-03 1.05116181e-02
93 1.81676283e-01 6.90869708e-03 9.48017184e-03
94 1.93543181e-01 5.22906426e-03 9.30171646e-03
95 1.81631595e-01 6.45144843e-03 9.72506590e-03
96 1.95405692e-01 6.92944974e-03 1.05724242e-02
97 1.80041224e-01 6.24550367e-03 1.00722164e-02
98 1.94451287e-01 5.70916384e-03 9.31730028e-03
99 1.82136655e-01 5.85000450e-03 9.58049111e-03
100 1.89152658e-01 6.79490995e-03 1.05626583e-02
101 1.79182172e-01 5.79545507e-03 1.02942530e-02
102 1.89581096e-01 5.06995618e-03 9.24277492e-03
103 1.77970499e-01 5.97826811e-03 9.61252488e-03
104 1.85124457e-01 6.08540373e-03 1.03848642e-02
105 1.75767526e-01 5.76853845e-03 1.02163600e-02
106 1.85018912e-01 6.10019080e-03 1.01724807e-02
107 1.80036217e-01 5.52909449e-03 1.03927469e-02
108 1.82366326e-01 6.21957565e-03 1.07820034e-02
109 1.76479727e-01 6.14511222e-03 1.05576972e-02
110 1.82226866e-01 6.15742151e-03 1.04617439e-02
111 1.73732176e-01 5.87416301e-03 1.12240482e-02
112 1.77529618e-01 6.73957821e-03 1.21411569e-02
113 1.73266083e-01 6.06587296e-03 1.12639023e-02
114 1.79738760e-01 6.68950286e-03 1.14022745e-02
115 1.73325568e-01 6.99300878e-03 1.14940600e-02
116 1.72355652e-01 7.16360193e-03 1.24473749e-02
117 1.75549328e-01 6.36415184e-03 1.17335990e-02
118 1.76261902e-01 7.05175428e-03 1.15841748e-02
119 1.71954393e-01 6.48196461e-03 1.18138576e-02
120 1.74087301e-01 6.80637220e-03 1.24413837e-02
121 1.69764593e-01 6.28090743e-03 1.22480839e-02
122 1.75881326e-01 5.92825562e-03 1.18398089e-02
123 1.78309664e-01 6.96744770e-03 1.25278281e-02
124 1.78658620e-01 6.24232180e-03 1.21811600e-02
125 1.72122434e-01 6.64357468e-03 1.19581064e-02
126 1.72996312e-01 6.91116415e-03 1.19593395e-02
127 1.78571850e-01 5.17432252e-03 1.17899915e-02
128 1.73024446e-01 6.21568039e-03 1.27871642e-02
129 1.68477133e-01 6.20357227e-03 1.30661307e-02
130 1.73713848e-01 6.41465001e-03 1.18468385e-02
131 1.67685986e-01 6.62886351e-03 1.33550931e-02
132 1.67931974e-01 6.71705417e-03 1.35069843e-02
133 1.67514205e-01 6.48262538e-03 1.36022782e-02
134 1.65435806e-01 6.70938659e-03 1.39706312e-02
135 1.66250080e-01 6.87666424e-03 1.37644960e-02
136 1.68564767e-01 6.55673072e-03 1.34520382e-02
137 1.66901872e-01 6.48466544e-03 1.39410393e-02
138 1.66352034e-01 6.91391714e-03 1.40912570e-02
139 1.66320860e-01 6.79261703e-03 1.40122529e-02
140 1.65871546e-01 8.14806391e-03 1.37400255e-02
141 1.68303862e-01 6.86767884e-03 1.39110945e-02
142 1.65264949e-01 6.59617782e-03 1.37749994e-02
143 1.63632542e-01 6.49395725e-03 1.40477791e-02
144 1.67854235e-01 6.42947853e-03 1.43638141e-02
145 1.67226970e-01 6.36899052e-03 1.38600264e-02
146 1.68610215e-01 6.20212033e-03 1.37274386e-02
147 1.63694128e-01 6.31796941e-03 1.36868954e-02
148 1.72007591e-01 6.67515304e-03 1.47598721e-02
149 1.67777151e-01 6.37068413e-03 1.38884699e-02
150 1.67257369e-01 6.69474807e-03 1.45176528e-02
151 1.67781085e-01 7.30649102e-03 1.40340608e-02
152 1.68155283e-01 6.45141117e-03 1.43872239e-02
153 1.67984053e-01 6.84754457e-03 1.50643606e-02
154 1.65029824e-01 6.47459272e-03 1.49104130e-02
155 1.63095608e-01 6.45803474e-03 1.47411050e-02
156 1.64386034e-01 7.06759421e-03 1.50320977e-02
157 1.63539782e-01 6.66417088e-03 1.47089884e-02
158 1.65475011e-01 6.85441028e-03 1.48873068e-02
159 1.63435072e-01 6.58816891e-03 1.53073305e-02
160 1.61310107e-01 7.34139793e-03 1.56781729e-02
161 1.62623301e-01 7.07747415e-03 1.56120099e-02
162 1.59832314e-01 6.90909568e-03 1.50599265e-02
163 1.59896880e-01 6.45044167e-03 1.54358065e-02
164 1.58637509e-01 6.62325695e-03 1.59096718e-02
165 1.59047842e-01 6.30468875e-03 1.56146912e-02
166 1.58558249e-01 6.35025743e-03 1.50993895e-02
167 1.61185771e-01 6.79540355e-03 1.49811003e-02
168 1.58395261e-01 6.65522506e-03 1.56464800e-02
169 1.59392267e-01 6.13641925e-03 1.57311335e-02
170 1.62110269e-01 6.54052664e-03 1.55538758e-02
171 1.63787857e-01 6.23196457e-03 1.53188463e-02
