# step L_total L_int L_bdry L_orth
1 4.85856891e-01 4.85856891e-01 0.00000000e+00 0.00000000e+00
2 4.76373792e-01 4.76163328e-01 1.93433603e-04 1.70143594e-05
3 4.58002418e-01 4.56771076e-01 1.13069545e-03 1.00631078e-04
4 4.45911348e-01 4.39526349e-01 5.84240118e-03 5.42602211e-04
5 4.49325144e-01 4.36676770e-01 1.16544804e-02 9.93917580e-04
6 4.33269501e-01 4.17672157e-01 1.37756765e-02 1.82166882e-03
7 4.18872058e-01 4.05717224e-01 1.13602988e-02 1.79455313e-03
8 4.23036993e-01 4.13089126e-01 8.84827413e-03 1.09957426e-03
9 4.14416790e-01 4.04051125e-01 9.50389169e-03 8.61749286e-04
10 4.13481861e-01 3.97111684e-01 1.48749296e-02 1.49524910e-03
11 4.14240539e-01 3.93903702e-01 1.86479371e-02 1.68888527e-03
12 3.97358119e-01 3.75840694e-01 1.99110582e-02 1.60636578e-03
13 4.05840248e-01 3.82595241e-01 2.14867983e-02 1.75821676e-03
14 4.04732406e-01 3.78446192e-01 2.42555849e-02 2.03063805e-03
15 3.97433490e-01 3.71372700e-01 2.40263902e-02 2.03438825e-03
16 3.92658263e-01 3.67790818e-01 2.29083169e-02 1.95912668e-03
17 3.91020298e-01 3.67488772e-01 2.15546545e-02 1.97686581e-03
18 3.75959277e-01 3.57320726e-01 1.65197849e-02 2.11875676e-03
19 3.64354432e-01 3.52705538e-01 1.03287781e-02 1.32011797e-03
20 3.62864763e-01 3.54835838e-01 6.93093659e-03 1.09798962e-03
21 3.58545691e-01 3.49815845e-01 6.83621876e-03 1.89362699e-03
22 3.47329080e-01 3.39168906e-01 6.27087802e-03 1.88927946e-03
23 3.48287940e-01 3.40388924e-01 6.31393073e-03 1.58510380e-03
24 3.55531663e-01 3.45067322e-01 7.02493079e-03 3.43940337e-03
25 3.51104230e-01 3.43411684e-01 4.78088297e-03 2.91165733e-03
26 3.50526363e-01 3.41659516e-01 3.60809825e-03 5.25873108e-03
27 3.54781359e-01 3.45270932e-01 3.48785263e-03 6.02257065e-03
28 3.43764305e-01 3.35790604e-01 3.85625265e-03 4.11744555e-03
29 3.36638600e-01 3.27972323e-01 4.70826915e-03 3.95801570e-03
30 3.36170912e-01 3.25434208e-01 5.89888543e-03 4.83781705e-03
31 3.32205594e-01 3.22768092e-01 5.70634846e-03 3.73117509e-03
32 3.32216859e-01 3.22679996e-01 6.10351423e-03 3.43333604e-03
33 3.31549734e-01 3.20743918e-01 7.15784915e-03 3.64794303e-03
34 3.30932111e-01 3.20020616e-01 7.64691737e-03 3.26456153e-03
35 3.25659275e-01 3.16015810e-01 7.04035908e-03 2.60311854e-03
36 3.21663171e-01 3.11849356e-01 7.14288699e-03 2.67090998e-03
37 3.17961901e-01 3.08318973e-01 6.68760715e-03 2.95530306e-03
38 3.07546526e-01 2.98917025e-01 5.64281782e-03 2.98667187e-03
