# step L_total L_int L_bdry L_orth L_gradation
1 1.08545065e+01 1.08545065e+01 0.00000000e+00 0.00000000e+00 0.00000000e+00
2 1.08387861e+01 1.08363056e+01 2.27478240e-03 2.05606033e-04 0.00000000e+00
3 1.05481663e+01 1.05269985e+01 1.69938430e-02 4.17433493e-03 0.00000000e+00
4 1.06795826e+01 1.05843019e+01 7.08809868e-02 2.43999828e-02 0.00000000e+00
5 1.07175083e+01 1.04406242e+01 2.01211736e-01 7.56722018e-02 0.00000000e+00
6 1.06223249e+01 1.04076424e+01 1.50439516e-01 6.42430410e-02 0.00000000e+00
7 1.04232492e+01 1.03004751e+01 8.54956657e-02 3.72781977e-02 0.00000000e+00
8 1.03908625e+01 1.03194141e+01 4.90362123e-02 2.24121250e-02 0.00000000e+00
9 9.93265915e+00 9.86801052e+00 4.18800637e-02 2.27692127e-02 0.00000000e+00
10 1.05705423e+01 1.04659281e+01 6.52654395e-02 3.93487923e-02 0.00000000e+00
11 1.07673693e+01 1.06259232e+01 8.75393450e-02 5.39063513e-02 0.00000000e+00
12 1.06755514e+01 1.05415545e+01 8.31533372e-02 5.08429110e-02 0.00000000e+00
13 1.05700312e+01 1.04680099e+01 6.49812445e-02 3.70396860e-02 0.00000000e+00
14 1.05548658e+01 1.04769011e+01 5.16366512e-02 2.63280813e-02 0.00000000e+00
15 1.05116262e+01 1.04440365e+01 4.67680097e-02 2.08214577e-02 0.00000000e+00
16 1.05429611e+01 1.04719582e+01 5.05571961e-02 2.04454139e-02 0.00000000e+00
17 1.03747330e+01 1.02782583e+01 7.12489933e-02 2.52260230e-02 0.00000000e+00
18 1.04203281e+01 1.02884254e+01 9.56018567e-02 3.63002196e-02 0.00000000e+00
19 9.96483231e+00 9.77548122e+00 1.36641771e-01 5.27099520e-02 0.00000000e+00
20 9.88646126e+00 9.61601448e+00 1.95123345e-01 7.53226504e-02 0.00000000e+00
21 1.09980249e+01 1.06143389e+01 2.84469604e-01 9.92167816e-02 0.00000000e+00
22 1.10392580e+01 1.07078972e+01 2.55182326e-01 7.61780962e-02 0.00000000e+00
23 1.04890652e+01 1.02778454e+01 1.69360965e-01 4.18585576e-02 0.00000000e+00
24 1.05068512e+01 1.03813887e+01 1.05993897e-01 1.94685832e-02 0.00000000e+00
25 1.05286827e+01 1.04544687e+01 6.40746132e-02 1.01394895e-02 0.00000000e+00
26 1.05719728e+01 1.05195513e+01 4.54752482e-02 6.94633555e-03 0.00000000e+00
27 1.01967316e+01 1.01534195e+01 3.66186574e-02 6.69356948e-03 0.00000000e+00
28 1.04716091e+01 1.04231730e+01 3.89795713e-02 9.45633184e-03 0.00000000e+00
29 1.05169334e+01 1.04533014e+01 4.89422902e-02 1.46897249e-02 0.00000000e+00
30 1.04064846e+01 1.03173542e+01 6.48534223e-02 2.42764130e-02 0.00000000e+00
31 1.05740471e+01 1.04477215e+01 8.73024091e-02 3.90230119e-02 0.00000000e+00
32 1.02426567e+01 1.00738239e+01 1.12261698e-01 5.65708242e-02 0.00000000e+00
33 1.07387247e+01 1.05241699e+01 1.43389061e-01 7.11662173e-02 0.00000000e+00
